# blog.txt
# Un blog minimaliste et léger pour garder et partager mes trouvailles.

DATE                    CATEGORY/TYPE           URL : DESCRIPTION
2023-06-05T13:51:11	system/resources	https://blog.cloudnativefolks.org/ebpf-for-cybersecurity-part-1 : Explication détaillée sur le fonctionnement de eBPF
2023-07-07T23:02:03	other/article		https://digdeeper.neocities.org/articles/email : Avis sur les différents services emails
2023-07-19T21:42:13	storage/resources	https://jro.io/truenas/openzfs/ : Excellent blog sur ZFS
2023-11-01T16:40:34	system/tools		https://mfsbsd.vx.sk/ : FreeBSD ramdisk
2023-11-01T16:42:40	system/resources	https://www.tumfatig.net/2023/using-openbsd-relayd8-as-an-application-layer-gateway/ : Utilisation de relayd d'OpenBSD
2023-11-01T16:44:12	system/tools		https://tomscii.sig7.se/umon/ : Minimal monitoring
2023-11-01T16:46:35	storage/resources	https://ikrima.dev/dev-notes/homelab/zfs-for-dummies/ : Notes sur ZFS
2023-11-01T16:47:49	cyber/tools		https://cisofy.com/lynis/ : Outil pour auditer la sécurité sous Linux et Unix
2023-11-01T16:49:08	network/resources	https://rob-turner.net/post/vx-lan/ : VXlan avec wireguard
2023-11-01T16:51:32	system/article		http://www.paritybit.ca/blog/migrating-from-nginx-to-openbsd-httpd-and-relayd : Migration nginx vers relayd + http OpenBSD
2023-11-30T15:44:19	system/article		https://rot256.dev/post/pass/ : Article sur les problèmes de pass avec gpg
2023-11-30T15:45:43	cyber/resources		https://anonymousplanet.org/ : Guide sur l'anonymat
2023-11-30T15:48:39	network/blog		https://www.jasonvanpatten.com/ : Blog sur FreeBSD (Fib, BGP, Jail)
2024-01-05T22:00:44	other/website		http://data.cquest.org/ : Données publiques
2024-01-18T20:48:05	other/website		https://www.peppercarrot.com/fr/ : BD libre et open source
2024-01-18T20:53:08	system/tools		https://forgejo.org/ : Fork de Gitea
2024-01-22T23:00:30	other/website		https://sdf.org/ : SDF Public Access UNIX System
2024-02-20T21:20:30	other/article		https://www.abortretry.fail/p/the-berkley-software-distribution : Histoire de BSD
2024-03-31T22:12:26	system/tools		https://bhyve.npulse.net/ : WebAdmin pour Bhyve
2024-04-29T22:08:33	system/article		https://blog.levassb.ovh/post/zfs/ : Article ZFS pour un NAS
2024-04-30T08:08:01	system/resources	https://techno.firenode.net/article.sh?id=d2016080413170150234 : Exemple de mise en place de ZFS
2024-08-30T23:49:11	system/resources	https://www.linuxembedded.fr/2020/11/namespaces-la-brique-de-base-des-conteneurs : Explication detaillees des namespaces
2024-08-30T23:50:31	system/resources	https://blog.quarkslab.com/digging-into-linux-namespaces-part-1.html : Explorer les namespaces
2024-08-30T23:55:16	system/article		https://email-comparison.as93.net/ : Comparaison des hebergeurs email
2024-10-23T22:39:36	system/resources	https://snork.ca/posts/2023-01-30-nftables-and-sets/ : nftables, iptables et sets
2024-11-01T00:56:57	network/tools		https://www.bisdn.de/products/bisdn-linux/ : Un NOS Open Source
2025-08-04T09:59:47	network/resources	https://www.brindereseau.fr/ : Plusieurs articles très avancés sur du réseaux
2025-08-04T10:41:19	network/tools		https://containerlab.dev/ : Alternative à GNS3
2025-08-05T13:38:27	system/resources	https://blog.victor-hery.com/2024/02/ssh-openssl-haproxy.html : SSH over OpenSSL over HAProxy
2025-08-05T13:39:53	system/resources	https://dryusdan.space/https-et-ssh-sont-dans-un-bateau-nomme-haproxy : SSH over HTTPS Upgrade
2025-08-05T14:57:51	system/tools		https://why.kunai.rocks/ : Outil de surveillance avancée et de threat-hunting Linux
2025-08-05T14:58:53	system/resources	https://thermalcircle.de/doku.php?id=blog:linux:routing_decisions_in_the_linux_kernel_1_lookup_packet_flow : Fonctionnement des décisions de routing sur Linux
2025-08-07T10:01:20	system/tools		https://plakar.io/ : Outil de sauvegarde, alternative à restic
2025-08-07T10:02:20	network/tools		https://www.keepalived.org/ : VIP sous Linux
2025-08-07T10:06:01	cyber/webzine		https://www.zataz.com/ : Média orienté sur la cybersecu avec une forte appétence pour la délinquance informatique
2025-08-07T14:53:51	system/tools		https://voxpupuli.org/ : Version opensource de puppet
2025-08-08T01:18:20	cyber/training		https://ozint.eu/ : Plateforme dédiée à l'OSINT
2025-08-08T01:18:57	other/article		https://www.abortretry.fail/p/the-berkley-software-distribution : L'histoire de BSD
2025-08-08T01:19:47	network/tools		https://www.openbmp.org/ : Outil de surveillance des liens BGP
2025-08-08T01:20:23	other/podcast		https://pwned.substack.com/ : Podcast sur les cybercrimes
2025-08-08T01:22:04	system/resources	https://sdz.tdct.org/sdz/en-profondeur-avec-l-assembleur.html#ProgrammerC039estquoi : Tutoriel sur l'assembleur en profondeur
2025-08-08T01:23:13	system/article		https://www.oyd.org.tr/en/articles/defense-of-gpg/ : Article pour défendre GPG
